model,intercept,slope,log_lik
306,-2.975,0.1,-79.97042218219448
307,-2.97,0,-415.77229982432914
308,-2.97,0.002,-407.346862312418
309,-2.97,0.004,-398.93349096189957
310,-2.97,0.006,-390.5331485351776
311,-2.97,0.008,-382.1468772186349
312,-2.97,0.01,-373.77580538138864
313,-2.97,0.012,-365.42115492562704
314,-2.97,0.014,-357.08424928162344
315,-2.97,0.016,-348.76652210539584
316,-2.97,0.018000000000000002,-340.4695267423055
317,-2.97,0.02,-332.19494652571836
318,-2.97,0.022,-323.9446059862238
319,-2.97,0.024,-315.7204830538784
320,-2.97,0.026000000000000002,-307.52472234357253
321,-2.97,0.028,-299.35964962196124
322,-2.97,0.03,-291.22778756353966
323,-2.97,0.032,-283.13187291343877
324,-2.97,0.034,-275.0748751854623
325,-2.97,0.036000000000000004,-267.06001703586634
326,-2.97,0.038,-259.0907964665019
327,-2.97,0.04,-251.17101102530398
328,-2.97,0.042,-243.30478418784193
329,-2.97,0.044,-235.49659412087507
330,-2.97,0.046,-227.75130504773117
331,-2.97,0.048,-220.07420145599949
332,-2.97,0.05,-212.47102541068452
333,-2.97,0.052000000000000005,-204.94801726078694
334,-2.97,0.054,-197.51196005448259
335,-2.97,0.056,-190.17022800788138
336,-2.97,0.058,-182.93083940502984
337,-2.97,0.06,-175.80251434264386
338,-2.97,0.062,-168.7947377723358
339,-2.97,0.064,-161.91782833616634
340,-2.97,0.066,-155.18301353857746
341,-2.97,0.068,-148.60251184955644
342,-2.97,0.07,-142.18962239069003
343,-2.97,0.07200000000000001,-135.9588229180835
344,-2.97,0.074,-129.92587688448378
345,-2.97,0.076,-124.1079504379522
346,-2.97,0.078,-118.52374029673796
347,-2.97,0.08,-113.19361353032055
348,-2.97,0.082,-108.13976037571777
349,-2.97,0.084,-103.38636132695686
350,-2.97,0.08600000000000001,-98.95976985504088
351,-2.97,0.088,-94.88871224686103
352,-2.97,0.09,-91.20450619546544
353,-2.97,0.092,-87.94129993216914
354,-2.97,0.094,-85.13633386457859
355,-2.97,0.096,-82.83022687524856
356,-2.97,0.098,-81.06728964508562
357,-2.97,0.1,-79.89586759562457
358,-2.965,0,-415.2328433397701
359,-2.965,0.002,-406.80819060059633
360,-2.965,0.004,-398.3956645047009
361,-2.965,0.006,-389.9962326403542
362,-2.965,0.008,-381.61094241792017
363,-2.965,0.01,-373.24092786248957
364,-2.965,0.012,-364.8874170010608
365,-2.965,0.014,-356.5517398976292
366,-2.965,0.016,-348.23533739444326
367,-2.965,0.018000000000000002,-339.9397706230405
368,-2.965,0.02,-331.6667313545303
369,-2.965,0.022,-323.4180532649997
370,-2.965,0.024,-315.1957241989211
371,-2.965,0.026000000000000002,-307.0018995211115
372,-2.965,0.028,-298.83891665617995
373,-2.965,0.03,-290.7093109235802
374,-2.965,0.032,-282.61583278643513
375,-2.965,0.034,-274.5614666432984
376,-2.965,0.036000000000000004,-266.5494513040578
377,-2.965,0.038,-258.58330230437167
378,-2.965,0.04,-250.66683622746314
379,-2.965,0.042,-242.8041972179089
380,-2.965,0.044,-234.99988588937256
381,-2.965,0.046,-227.25879084720282
382,-2.965,0.048,-219.5862230675932
383,-2.965,0.05,-211.98795339776876
384,-2.965,0.052000000000000005,-204.47025346660976
385,-2.965,0.054,-197.03994032246248
386,-2.965,0.056,-189.70442514484895
387,-2.965,0.058,-182.4717664096317
388,-2.965,0.06,-175.3507279231933
389,-2.965,0.062,-168.3508421806639
390,-2.965,0.064,-161.48247954651282
391,-2.965,0.066,-154.75692380328218
392,-2.965,0.068,-148.18645466629502
393,-2.965,0.07,-141.7844379192624
394,-2.965,0.07200000000000001,-135.56542388834407
395,-2.965,0.074,-129.54525504092265
396,-2.965,0.076,-123.74118357073475
397,-2.965,0.078,-118.17199991371977
398,-2.965,0.08,-112.85817322971783
399,-2.965,0.082,-107.82200498477263
400,-2.965,0.084,-103.08779687814214
401,-2.965,0.08600000000000001,-98.6820344781525
402,-2.965,0.088,-94.63358806280722
403,-2.965,0.09,-90.97393230574406
404,-2.965,0.092,-87.73738660699985
405,-2.965,0.094,-84.96137804250097
406,-2.965,0.096,-82.68672909779828
407,-2.965,0.098,-80.95797256201072
408,-2.965,0.1,-79.82369618910697
409,-2.96,0,-414.6934397048022
410,-2.96,0.002,-406.26957567205545
411,-2.96,0.004,-397.8578990676395
412,-2.96,0.006,-389.45938232988107
413,-2.96,0.008,-381.0750781193103
414,-2.96,0.01,-372.70612614534247
415,-2.96,0.012,-364.35376059048696
416,-2.96,0.014,-356.0193181857125
417,-2.96,0.016,-347.7042469955196
418,-2.96,0.018000000000000002,-339.41011597665
419,-2.96,0.02,-331.13862538025114
420,-2.96,0.022,-322.89161807374967
421,-2.96,0.024,-314.6710918657298
422,-2.96,0.026000000000000002,-306.4792129248198
423,-2.96,0.028,-298.3183303920183
424,-2.96,0.03,-290.1909922951205
425,-2.96,0.032,-282.0999628840033
426,-2.96,0.034,-274.0482415165802
427,-2.96,0.036000000000000004,-266.03908323734123
428,-2.96,0.038,-258.07602120364044
429,-2.96,0.04,-250.16289112940407
430,-2.96,0.042,-242.30385793181983
431,-2.96,0.044,-234.50344478397136
432,-2.96,0.046,-226.7665647954435
433,-2.96,0.048,-219.09855556380882
434,-2.96,0.05,-211.5052168627844
435,-2.96,0.052000000000000005,-203.99285175792113
436,-2.96,0.054,-196.5683114681623
437,-2.96,0.056,-189.2390443217219
438,-2.96,0.058,-182.01314918774082
439,-2.96,0.06,-174.89943380136393
440,-2.96,0.062,-167.90747843955208
441,-2.96,0.064,-161.04770544844274
442,-2.96,0.066,-154.3314551707735
443,-2.96,0.068,-147.77106887419652
444,-2.96,0.07,-141.37997933869252
445,-2.96,0.07200000000000001,-135.1728098242347
446,-2.96,0.074,-129.16548220890382
447,-2.96,0.076,-123.37533516341755
448,-2.96,0.078,-117.82125331116733
449,-2.96,0.08,-112.52380841408396
450,-2.96,0.082,-107.50541372477491
451,-2.96,0.084,-102.79049275527255
452,-2.96,0.08600000000000001,-98.40566383336679
453,-2.96,0.088,-94.3799419499318
454,-2.96,0.09,-90.74495954606351
455,-2.96,0.092,-87.53520804850731
456,-2.96,0.094,-84.78830213718838
457,-2.96,0.096,-82.54526892121794
458,-2.96,0.098,-80.8508644112493
459,-2.96,0.1,-79.75391990838142
460,-2.955,0,-414.154089184335
461,-2.955,0.002,-405.7310178114228
462,-2.955,0.004,-397.32019495658
463,-2.955,0.006,-388.92259793250093
464,-2.955,0.008,-380.5392846761985
465,-2.955,0.01,-372.1714006099052
466,-2.955,0.012,-363.820186102496
467,-2.955,0.014,-355.4869845853316
468,-2.955,0.016,-347.1732513813658
469,-2.955,0.018000000000000002,-338.8805633117688
470,-2.955,0.02,-330.6106291502326
471,-2.955,0.022,-322.365301001595
472,-2.955,0.024,-314.1465866884976
473,-2.955,0.026000000000000002,-305.95666323753403
474,-2.955,0.028,-297.79789156482104
475,-2.955,0.03,-289.6728324701965
476,-2.955,0.032,-281.5842640593974
477,-2.955,0.034,-273.53520072468143
478,-2.955,0.036000000000000004,-265.5289138265169
479,-2.955,0.038,-257.56895423228286
480,-2.955,0.04,-249.6591768825016
481,-2.955,0.042,-241.80376757109516
482,-2.955,0.044,-234.00727214364653
483,-2.955,0.046,-226.27462833680488
484,-2.955,0.048,-218.6112005029619
485,-2.955,0.05,-211.0228174873215
486,-2.955,0.052000000000000005,-203.51581394968204
487,-2.955,0.054,-196.09707545086474
488,-2.955,0.056,-188.77408765398405
489,-2.955,0.058,-181.55499002393142
490,-2.955,0.06,-174.44863444480785
491,-2.955,0.062,-167.46464921491227
492,-2.955,0.064,-160.61350892260964
493,-2.955,0.066,-153.906610754342
494,-2.955,0.068,-147.35635783862307
495,-2.955,0.07,-140.97625028752344
496,-2.955,0.07200000000000001,-134.78098466041195
497,-2.955,0.074,-128.78656264411538
498,-2.955,0.076,-123.01040981979995
499,-2.955,0.078,-117.4715054704259
500,-2.955,0.08,-112.19052447430974
501,-2.955,0.082,-107.1899924309552
502,-2.955,0.084,-102.49445527575817
503,-2.955,0.08600000000000001,-98.13066476143183
504,-2.955,0.088,-94.12778131709734
505,-2.955,0.09,-90.5175959421215
506,-2.955,0.092,-87.3347729522457
507,-2.955,0.094,-84.61711557176284
508,-2.955,0.096,-82.4058565590244
509,-2.955,0.098,-80.74597626512066
510,-2.955,0.1,-79.68655075906592
511,-2.95,0,-413.6147920446062
512,-2.95,0.002,-405.1925173047524
513,-2.95,0.004,-396.78255247892037
514,-2.95,0.006,-388.3858797786046
515,-2.95,0.008,-380.00356244374944
516,-2.95,0.01,-371.6367516380402
517,-2.95,0.012,-363.28669394772663
518,-2.95,0.014,-354.9547395381472
519,-2.95,0.016,-346.64235102709245
520,-2.95,0.018000000000000002,-338.3511131395815
521,-2.95,0.02,-330.0827432145701
522,-2.95,0.022,-321.83910264061024
523,-2.95,0.024,-313.6222093045963
524,-2.95,0.026000000000000002,-305.43425114551326
525,-2.95,0.028,-297.2776009136191
526,-2.95,0.03,-289.1548322448143
527,-2.95,0.032,-281.0687371701488
528,-2.95,0.034,-273.02234519158424
529,-2.95,0.036000000000000004,-265.0189440673517
530,-2.95,0.038,-257.06210246362696
531,-2.95,0.04,-249.15569464390205
