replicate,risk_novax
194,0.011733333333333333
195,0.012466666666666666
196,0.0112
197,0.010866666666666667
198,0.012533333333333334
199,0.0116
200,0.0132
201,0.0138
202,0.012133333333333333
203,0.012666666666666666
204,0.012066666666666667
205,0.011533333333333333
206,0.012266666666666667
207,0.011533333333333333
208,0.011533333333333333
209,0.012533333333333334
210,0.012333333333333333
211,0.011
212,0.0126
213,0.012
214,0.012133333333333333
215,0.012133333333333333
216,0.0114
217,0.0104
218,0.012133333333333333
219,0.0112
220,0.0126
221,0.0116
222,0.013533333333333333
223,0.011333333333333334
224,0.012066666666666667
225,0.012266666666666667
226,0.012
227,0.012133333333333333
228,0.0116
229,0.012533333333333334
230,0.0116
231,0.0114
232,0.013266666666666666
233,0.011333333333333334
234,0.0114
235,0.012066666666666667
236,0.0114
237,0.013
238,0.0124
239,0.011666666666666667
240,0.0126
241,0.011066666666666667
242,0.012866666666666667
243,0.013933333333333334
244,0.012266666666666667
245,0.013266666666666666
246,0.011466666666666667
247,0.0126
248,0.011266666666666666
249,0.012466666666666666
250,0.012066666666666667
251,0.014
252,0.0126
253,0.012
254,0.0124
255,0.012466666666666666
256,0.014533333333333334
257,0.011466666666666667
258,0.012133333333333333
259,0.0108
260,0.014066666666666667
261,0.0138
262,0.0122
263,0.011666666666666667
264,0.013333333333333334
265,0.010133333333333333
266,0.0108
267,0.012466666666666666
268,0.010733333333333333
269,0.010866666666666667
270,0.011466666666666667
271,0.011733333333333333
272,0.0128
273,0.012666666666666666
274,0.012466666666666668
275,0.013266666666666666
276,0.012933333333333333
277,0.013066666666666667
278,0.0138
279,0.011666666666666667
280,0.013066666666666667
281,0.013466666666666667
282,0.0134
283,0.0124
284,0.013133333333333334
285,0.013933333333333334
286,0.010733333333333333
287,0.014466666666666666
288,0.013133333333333334
289,0.010933333333333333
290,0.012066666666666667
291,0.012466666666666666
292,0.014266666666666667
293,0.014
294,0.0112
295,0.011266666666666666
296,0.013733333333333334
297,0.0116
298,0.012933333333333333
299,0.011066666666666667
300,0.0118
301,0.0114
302,0.0126
303,0.010466666666666668
304,0.0116
