model,intercept,slope,log_lik
335,-1.925,-0.19,-184.75273717164433
336,-1.925,-0.18,-181.5011932615674
337,-1.925,-0.16999999999999998,-178.27598260358354
338,-1.925,-0.15999999999999998,-175.0803454909705
339,-1.925,-0.14999999999999997,-171.91797576001616
340,-1.925,-0.14,-168.79308772618816
341,-1.925,-0.13,-165.7104925988383
342,-1.925,-0.12,-162.67568534917532
343,-1.925,-0.10999999999999999,-159.69494292198144
344,-1.925,-0.09999999999999998,-156.7754344898676
345,-1.925,-0.08999999999999997,-153.92534410200014
346,-1.925,-0.08000000000000002,-151.15400551546267
347,-1.925,-0.07,-148.47204814011744
348,-1.925,-0.06,-145.89155178691496
349,-1.925,-0.04999999999999999,-143.4262061874055
350,-1.925,-0.03999999999999998,-141.09146895683025
351,-1.925,-0.02999999999999997,-138.90471274305364
352,-1.925,-0.020000000000000018,-136.885348747485
353,-1.925,-0.010000000000000009,-135.0549097591012
354,-1.925,0,-133.43707164874198
355,-1.925,0.010000000000000009,-132.05758855130395
356,-1.925,0.020000000000000018,-130.9441146850529
357,-1.925,0.030000000000000027,-130.12588622447538
358,-1.925,0.040000000000000036,-129.63324136355897
359,-1.925,0.050000000000000044,-129.496967065235
360,-1.925,0.06000000000000005,-129.74747771359492
361,-1.925,0.07000000000000006,-130.41385335484716
362,-1.925,0.07999999999999996,-131.52279089063572
363,-1.925,0.08999999999999997,-133.09754586005405
364,-1.925,0.09999999999999998,-135.15695928415727
365,-1.925,0.10999999999999999,-137.7146675793182
366,-1.925,0.12,-140.77858020500244
367,-1.925,0.13,-144.35068007895129
368,-1.925,0.14,-148.42716115366008
369,-1.925,0.15000000000000002,-152.9988746049439
370,-1.925,0.16000000000000003,-158.0520191972507
371,-1.925,0.17000000000000004,-163.56898954010902
372,-1.925,0.18000000000000005,-169.529290761983
373,-1.925,0.19000000000000006,-175.9104377119924
374,-1.925,0.20000000000000007,-182.68877617527204
375,-1.925,0.20999999999999996,-189.84018679929935
376,-1.925,0.21999999999999997,-197.34065438843743
377,-1.925,0.22999999999999998,-205.16670271159745
378,-1.925,0.24,-213.2957067477736
379,-1.925,0.25,-221.70610065132783
380,-1.925,0.26,-230.37750179199512
381,-1.925,0.27,-239.29077041532958
382,-1.925,0.28,-248.42802205384334
383,-1.925,0.29000000000000004,-257.77260676607426
384,-1.925,0.30000000000000004,-267.30906622039413
385,-1.925,0.31000000000000005,-277.02307691610747
386,-1.925,0.32000000000000006,-286.9013855846682
387,-1.925,0.33000000000000007,-296.93174105034944
388,-1.925,0.33999999999999997,-307.1028254983997
389,-1.925,0.35,-317.40418712088075
390,-1.925,0.36,-327.82617540612574
391,-1.925,0.37,-338.3598798376731
392,-1.925,0.38,-348.99707241718244
393,-1.925,0.39,-359.73015418145616
394,-1.925,0.4,-370.5521057159704
395,-1.925,0.41000000000000003,-381.45644155459075
396,-1.925,0.42000000000000004,-392.43716828216526
397,-1.925,0.43000000000000005,-403.48874611254433
398,-1.925,0.44000000000000006,-414.6060536914495
399,-1.925,0.45000000000000007,-425.7843558655637
400,-1.925,0.45999999999999996,-437.0192741620636
401,-1.925,0.47,-448.30675973285844
402,-1.925,0.48,-459.6430685328693
403,-1.925,0.49,-471.02473851928625
404,-1.925,0.5,-482.4485686778304
405,-1.9,-0.5,-289.46750433968793
406,-1.9,-0.49,-285.980761082592
407,-1.9,-0.48,-282.4958482531003
408,-1.9,-0.47,-279.012879228595
409,-1.9,-0.46,-275.531977772131
410,-1.9,-0.45,-272.0532791663737
411,-1.9,-0.44,-268.57693148609985
412,-1.9,-0.43,-265.103097027995
413,-1.9,-0.42,-261.6319539192615
414,-1.9,-0.41000000000000003,-258.1636979297644
415,-1.9,-0.4,-254.69854451617647
416,-1.9,-0.39,-251.2367311309186
417,-1.9,-0.38,-247.77851983373
418,-1.9,-0.37,-244.32420024955957
419,-1.9,-0.36,-240.87409292328948
420,-1.9,-0.35,-237.42855312973563
421,-1.9,-0.33999999999999997,-233.9879752066108
422,-1.9,-0.32999999999999996,-230.55279748889723
423,-1.9,-0.32,-227.12350793560637
424,-1.9,-0.31,-223.70065055448873
425,-1.9,-0.3,-220.28483274722925
426,-1.9,-0.29000000000000004,-216.87673371738686
427,-1.9,-0.28,-213.47711410623705
428,-1.9,-0.27,-210.08682704820959
429,-1.9,-0.26,-206.70683086828697
430,-1.9,-0.25,-203.3382036790832
431,-1.9,-0.24,-199.9821601758965
432,-1.9,-0.22999999999999998,-196.64007097436968
433,-1.9,-0.21999999999999997,-193.31348488794322
434,-1.9,-0.21000000000000002,-190.0041546013776
435,-1.9,-0.2,-186.71406626228722
436,-1.9,-0.19,-183.44547358448105
437,-1.9,-0.18,-180.2009371338466
438,-1.9,-0.16999999999999998,-176.98336954740418
439,-1.9,-0.15999999999999998,-173.7960875152918
440,-1.9,-0.14999999999999997,-170.64287142786802
441,-1.9,-0.14,-167.52803364672351
442,-1.9,-0.13,-164.45649638564964
443,-1.9,-0.12,-161.43388016607446
444,-1.9,-0.10999999999999999,-158.46660371384
445,-1.9,-0.09999999999999998,-155.5619959531479
446,-1.9,-0.08999999999999997,-152.72842037946106
447,-1.9,-0.08000000000000002,-149.97541149235704
448,-1.9,-0.07,-147.31382206318247
449,-1.9,-0.06,-144.75597870928658
450,-1.9,-0.04999999999999999,-142.31584144885827
451,-1.9,-0.03999999999999998,-140.00916052861956
452,-1.9,-0.02999999999999997,-137.85362079645455
453,-1.9,-0.020000000000000018,-135.8689602553769
454,-1.9,-0.010000000000000009,-134.07704534484446
455,-1.9,0,-132.50188132527367
456,-1.9,0.010000000000000009,-131.16953256031707
457,-1.9,0.020000000000000018,-130.10792551550446
458,-1.9,0.030000000000000027,-129.3465082658565
459,-1.9,0.040000000000000036,-128.91574574405834
460,-1.9,0.050000000000000044,-128.84644119440165
461,-1.9,0.06000000000000005,-129.16889190476806
462,-1.9,0.07000000000000006,-129.91191041661034
463,-1.9,0.07999999999999996,-131.101768225475
464,-1.9,0.08999999999999997,-132.76114260962254
465,-1.9,0.09999999999999998,-134.90816253842902
466,-1.9,0.10999999999999999,-137.55565093154425
467,-1.9,0.12,-140.7106447800479
468,-1.9,0.13,-144.37424304317562
469,-1.9,0.14,-148.54179067841702
470,-1.9,0.15000000000000002,-153.2033646318058
471,-1.9,0.16000000000000003,-158.34449331321687
472,-1.9,0.17000000000000004,-163.94702146738027
473,-1.9,0.18000000000000005,-169.99002939552628
474,-1.9,0.19000000000000006,-176.45072675700274
475,-1.9,0.20000000000000007,-183.30526144070615
476,-1.9,0.20999999999999996,-190.52940731362833
477,-1.9,0.21999999999999997,-198.09911615961929
478,-1.9,0.22999999999999998,-205.99093587754115
479,-1.9,0.24,-214.18230802211474
480,-1.9,0.25,-222.65176348300497
481,-1.9,0.26,-231.37903671144053
482,-1.9,0.27,-240.3451178192915
483,-1.9,0.28,-249.5322593324073
484,-1.9,0.29000000000000004,-258.9239512994652
485,-1.9,0.30000000000000004,-268.5048754268794
486,-1.9,0.31000000000000005,-278.2608462411254
487,-1.9,0.32000000000000006,-288.1787450903122
488,-1.9,0.33000000000000007,-298.2464510878524
489,-1.9,0.33999999999999997,-308.4527718144415
490,-1.9,0.35,-318.78737565103097
491,-1.9,0.36,-329.2407269366814
492,-1.9,0.37,-339.80402466360636
493,-1.9,0.38,-350.4691450838891
494,-1.9,0.39,-361.2285883679667
495,-1.9,0.4,-372.07542929482804
496,-1.9,0.41000000000000003,-383.00327184708226
497,-1.9,0.42000000000000004,-394.00620751565594
